일자,방문인원수,counterfactual_visitors,difference
2021-09-11,11735,13147,1412
2021-09-12,12755,12740,-15
2021-09-13,1442,1319,-123
2021-09-14,1405,1759,354
2021-09-15,1313,2554,1241
2021-09-16,1336,2815,1479
2021-09-17,1335,4207,2872
2021-09-18,9152,14479,5327
2021-09-19,12678,15672,2994
2021-09-20,19167,13473,-5694
2021-09-21,7751,6483,-1268
2021-09-22,10551,10704,153
2021-09-23,4100,3639,-461
2021-09-24,3257,4945,1688
2021-09-25,10698,17194,6496
2021-09-26,11145,17795,6650
2021-09-27,1478,4611,3133
2021-09-28,1124,4126,3002
2021-09-29,169,3830,3661
2021-09-30,1840,5042,3202
2021-10-01,2313,1911,-402
2021-10-02,12400,20514,8114
2021-10-03,16853,24703,7850
2021-10-04,5215,18051,12836
2021-10-05,1259,8280,7021
2021-10-06,353,5060,4707
2021-10-07,914,4678,3764
2021-10-08,715,4229,3514
2021-10-09,13776,18074,4298
2021-10-10,6376,6468,92
2021-10-11,14410,13539,-871
2021-10-12,1763,4529,2766
2021-10-13,2368,4537,2169
2021-10-14,2310,4700,2390
2021-10-15,1857,5737,3880
2021-10-16,7823,15687,7864
2021-10-17,5034,11538,6504
2021-10-18,3236,2658,-578
2021-10-19,1091,2809,1718
2021-10-20,1863,4418,2555
2021-10-21,1938,4440,2502
2021-10-22,2386,5630,3244
2021-10-23,11525,16782,5257
2021-10-24,14344,17160,2816
2021-10-25,2267,4435,2168
2021-10-26,2433,5498,3065
2021-10-27,20162,5618,-14544
2021-10-28,3071,5660,2589
2021-10-29,3468,7296,3828
2021-10-30,13047,17008,3961
2021-10-31,15648,13494,-2154
2021-11-01,3168,3726,558
2021-11-02,3353,3974,621
2021-11-03,3310,3998,688
2021-11-04,2533,3838,1305
2021-11-05,3846,4265,419
2021-11-06,15092,12214,-2878
2021-11-07,16700,11771,-4929
2021-11-08,171,1233,1062
2021-11-09,385,1772,1387
2021-11-10,930,1620,690
2021-11-11,1515,1799,284
2021-11-12,1593,2405,812
2021-11-13,6639,7069,430
2021-11-14,8436,10068,1632
2021-11-15,1680,1981,301
2021-11-16,3665,2055,-1610
2021-11-17,1631,1946,315
2021-11-18,1073,2692,1619
2021-11-19,1748,3380,1632
2021-11-20,4321,8493,4172
2021-11-21,3040,5530,2490
2021-11-22,683,984,301
2021-11-23,436,1182,746
2021-11-24,523,1705,1182
2021-11-25,665,2012,1347
2021-11-26,16233,3254,-12979
2021-11-27,15992,5405,-10587
2021-11-28,4650,6279,1629
2021-11-29,1137,2749,1612
2021-11-30,141,7575,7434
2021-12-01,321,774,453
2021-12-02,386,843,457
2021-12-03,361,1243,882
2021-12-04,1741,2571,830
2021-12-05,2830,2587,-243
2021-12-06,696,825,129
2021-12-07,1776,920,-856
2021-12-08,744,1022,278
2021-12-09,645,928,283
2021-12-10,404,1796,1392
2021-12-11,2688,6031,3343
2021-12-12,2415,4336,1921
2021-12-13,267,1089,822
2021-12-14,568,1813,1245
2021-12-15,339,1285,946
2021-12-16,355,1468,1113
2021-12-17,343,1839,1496
2021-12-18,312,1968,1656
2021-12-19,573,3158,2585
2021-12-20,471,964,493
2021-12-21,460,1351,891
2021-12-22,427,1566,1139
2021-12-23,430,1738,1308
2021-12-24,303,2197,1894
2021-12-25,390,4202,3812
2021-12-26,223,4033,3810
2021-12-27,12955,3202,-9753
2021-12-28,317,3824,3507
2021-12-29,394,4280,3886
2021-12-30,420,3209,2789
2021-12-31,202,2607,2405
2022-01-01,1043,3579,2536
2022-01-02,1084,2377,1293
2022-01-03,324,3148,2824
2022-01-04,417,1919,1502
2022-01-05,349,1849,1500
2022-01-06,933,1956,1023
2022-01-07,463,2204,1741
2022-01-08,1431,3444,2013
2022-01-09,1116,3357,2241
2022-01-10,367,1910,1543
2022-01-11,249,1697,1448
2022-01-12,139,1777,1638
2022-01-13,1276,1882,606
2022-01-14,224,2159,1935
2022-01-15,1433,3044,1611
2022-01-16,1262,3035,1773
2022-01-17,283,1491,1208
2022-01-18,358,1746,1388
2022-01-19,240,2455,2215
2022-01-20,327,1915,1588
2022-01-21,386,2180,1794
2022-01-22,1882,3712,1830
2022-01-23,2805,3768,963
2022-01-24,746,1928,1182
2022-01-25,267,2265,1998
2022-01-26,558,2459,1901
2022-01-27,476,2528,2052
2022-01-28,426,4184,3758
2022-01-29,1237,5715,4478
2022-01-30,1951,4475,2524
2022-01-31,2755,3651,896
2022-02-01,1096,4250,3154
2022-02-02,1651,3928,2277
2022-02-03,652,2163,1511
2022-02-04,374,2327,1953
2022-02-05,509,3351,2842
2022-02-06,860,3344,2484
2022-02-07,275,1874,1599
2022-02-08,591,2142,1551
2022-02-09,564,2238,1674
2022-02-10,704,2314,1610
2022-02-11,755,2741,1986
2022-02-12,2875,5353,2478
2022-02-13,4327,5258,931
2022-02-14,721,1896,1175
2022-02-15,2350,2072,-278
2022-02-16,282,1902,1620
2022-02-17,215,2101,1886
2022-02-18,599,2399,1800
2022-02-19,2013,3729,1716
2022-02-20,1677,4267,2590
2022-02-21,364,1597,1233
2022-02-22,380,2024,1644
2022-02-23,337,1922,1585
2022-02-24,656,2431,1775
2022-02-25,1254,3228,1974
2022-02-26,1947,6125,4178
2022-02-27,6364,8062,1698
2022-02-28,3653,2182,-1471
2022-03-01,4485,3635,-850
2022-03-02,902,576,-326
2022-03-03,927,689,-238
2022-03-04,614,1133,519
2022-03-05,2774,6403,3629
2022-03-06,4926,6316,1390
2022-03-07,755,623,-132
2022-03-08,1096,1005,-91
2022-03-09,12164,1478,-10686
2022-03-10,1044,1641,597
2022-03-11,1440,2258,818
2022-03-12,10364,6953,-3411
2022-03-13,1397,2045,648
2022-03-14,135,0,-135
2022-03-15,1287,1133,-154
2022-03-16,1520,1564,44
2022-03-17,2283,1078,-1205
2022-03-18,556,1505,949
2022-03-19,504,1506,1002
2022-03-20,7728,11314,3586
2022-03-21,1259,184,-1075
2022-03-22,1348,777,-571
2022-03-23,777,631,-146
2022-03-24,1079,1150,71
2022-03-25,1185,851,-334
2022-03-26,3615,6385,2770
2022-03-27,15630,14908,-722
2022-03-28,3633,1141,-2492
2022-03-29,2389,1334,-1055
2022-03-30,670,249,-421
2022-03-31,1516,1889,373
2022-04-01,3094,5208,2114
2022-04-02,19080,19240,160
2022-04-03,20368,21140,772
2022-04-04,2616,4028,1412
2022-04-05,2293,4000,1707
2022-04-06,2635,5527,2892
2022-04-07,2425,5026,2601
2022-04-08,5368,7055,1687
2022-04-09,22965,24373,1408
2022-04-10,24296,29507,5211
2022-04-11,6053,7145,1092
2022-04-12,4761,6677,1916
2022-04-13,831,5407,4576
2022-04-14,2172,6382,4210
2022-04-15,5086,6999,1913
2022-04-16,22173,25802,3629
2022-04-17,22239,25970,3731
2022-04-18,3122,6111,2989
2022-04-19,5147,6564,1417
2022-04-20,3229,6572,3343
2022-04-21,3143,7323,4180
2022-04-22,2171,7336,5165
2022-04-23,18329,25308,6979
2022-04-24,17940,19965,2025
2022-04-25,2604,5917,3313
2022-04-26,2563,7506,4943
2022-04-27,3095,8578,5483
2022-04-28,4191,10459,6268
2022-04-29,3185,7157,3972
2022-04-30,20693,25213,4520
2022-05-01,16307,21591,5284
2022-05-02,3893,7869,3976
2022-05-03,3594,7410,3816
2022-05-04,6421,7483,1062
2022-05-05,46381,22158,-24223
2022-05-06,13667,6220,-7447
2022-05-07,10100,12526,2426
2022-05-08,6887,9196,2309
2022-05-09,3350,18363,15013
2022-05-10,3458,5792,2334
2022-05-11,3399,5730,2331
2022-05-12,3523,6076,2553
2022-05-13,6037,6182,145
2022-05-14,12924,18178,5254
