"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210101","경인선","구일","1456","1445","20210104",""
"20210101","경인선","소사","2834","2545","20210104",""
"20210101","경인선","부개","2393","2407","20210104",""
"20210101","경인선","간석","1691","1623","20210104",""
"20210101","경인선","도원","833","883","20210104",""
"20210101","경인선","온수(성공회대입구)","1718","1674","20210104",""
"20210101","경인선","중동","2432","2404","20210104",""
"20210101","경인선","도화","1193","1154","20210104",""
"20210101","경춘선","신내","351","354","20210104",""
"20210101","경춘선","갈매","684","622","20210104",""
"20210101","경춘선","별내","738","774","20210104",""
"20210101","경춘선","퇴계원","966","951","20210104",""
"20210101","경춘선","사릉","842","872","20210104",""
"20210101","경춘선","금곡","430","427","20210104",""
"20210101","경춘선","평내호평","1659","1715","20210104",""
"20210101","경춘선","천마산","585","569","20210104",""
"20210101","경춘선","마석","1099","1285","20210104",""
"20210101","경춘선","대성리","262","205","20210104",""
"20210101","경춘선","청평","627","602","20210104",""
"20210101","경춘선","상천","141","102","20210104",""
"20210101","경춘선","가평","635","572","20210104",""
"20210101","경춘선","굴봉산","54","53","20210104",""
"20210101","경춘선","백양리","50","36","20210104",""
"20210101","경춘선","강촌","191","186","20210104",""
"20210101","경춘선","김유정","120","130","20210104",""
"20210101","경춘선","남춘천","952","907","20210104",""
"20210101","경춘선","춘천","533","502","20210104",""
"20210101","공항철도 1호선","서울역","2366","2474","20210104",""
"20210101","공항철도 1호선","공덕","543","759","20210104",""
"20210101","공항철도 1호선","홍대입구","2865","2534","20210104",""
"20210101","공항철도 1호선","디지털미디어시티","1919","1767","20210104",""
"20210101","공항철도 1호선","마곡나루(서울식물원)","752","839","20210104",""
"20210101","공항철도 1호선","김포공항","4299","2762","20210104",""
"20210101","공항철도 1호선","계양","2176","2128","20210104",""
"20210101","공항철도 1호선","검암","1756","1969","20210104",""
"20210101","공항철도 1호선","청라국제도시","1349","1307","20210104",""
"20210101","공항철도 1호선","운서","2999","2910","20210104",""
"20210101","공항철도 1호선","공항화물청사","915","945","20210104",""
"20210101","공항철도 1호선","인천공항1터미널","2532","2708","20210104",""
"20210101","공항철도 1호선","인천공항2터미널","1405","1294","20210104",""
"20210101","공항철도 1호선","영종","1226","1079","20210104",""
"20210101","과천선","선바위","1466","1467","20210104",""
"20210101","과천선","경마공원","224","234","20210104",""
"20210101","과천선","대공원","1004","992","20210104",""
"20210101","과천선","과천","1237","1114","20210104",""
"20210101","과천선","정부과천청사","1663","1723","20210104",""
"20210101","과천선","인덕원","4769","4876","20210104",""
"20210101","과천선","평촌","3055","2990","20210104",""
"20210101","과천선","범계","5658","5396","20210104",""
"20210101","분당선","선릉","1471","1811","20210104",""
"20210101","분당선","한티","2563","2561","20210104",""
"20210101","분당선","도곡","1273","1178","20210104",""
"20210101","분당선","구룡","270","254","20210104",""
"20210101","분당선","개포동","669","681","20210104",""
"20210101","분당선","대모산입구","659","606","20210104",""
"20210101","분당선","수서","2983","3517","20210104",""
